age,gender,education_level,years_experience,job_title,performance_score,industry,city,previous_companies,remote_worker,salary
30,Male,Bachelors,5.9,JobRole_5,3.0,Tech,Dallas,5,Yes,93292.58
37,Female,PhD,17.9,JobRole_13,5.0,Tech,Austin,1,Yes,138714.55
42,Female,Bachelors,19.1,JobRole_14,4.4,Finance,Austin,2,No,93073.72
30,Female,Bachelors,7.7,JobRole_15,3.8,Finance,Denver,1,No,83050.31
42,Male,Bachelors,23.2,JobRole_13,4.1,Tech,New York,3,No,160544.79
36,Male,HighSchool,22.5,JobRole_3,4.9,Healthcare,San Francisco,1,Yes,134495.16
44,Male,HighSchool,21.3,JobRole_5,4.2,Tech,Denver,3,No,113207.28
34,Female,HighSchool,16.2,JobRole_14,3.8,Tech,Miami,0,Yes,105921.28
39,Female,Bachelors,18.1,JobRole_4,4.2,Healthcare,Raleigh,2,Yes,80755.82
35,Female,HighSchool,13.6,JobRole_8,3.6,Finance,Los Angeles,5,No,97123.47
35,Male,Masters,18.2,JobRole_11,3.5,Tech,Miami,5,No,110294.27
38,Female,PhD,15.5,JobRole_5,3.2,Healthcare,New York,3,No,155722.47
40,Female,HighSchool,16.5,JobRole_10,3.0,Tech,Seattle,1,No,105793.05
26,Male,Bachelors,7.4,JobRole_10,,Tech,San Francisco,3,No,125334.69
47,Male,HighSchool,31.8,JobRole_5,4.1,Healthcare,Raleigh,3,No,102943.0
21,Male,HighSchool,3.2,JobRole_2,2.2,Finance,Chicago,3,No,53953.87
30,Male,Bachelors,5.8,JobRole_9,3.2,Retail,Austin,4,No,65448.05
35,Male,Bachelors,13.2,JobRole_15,4.0,Tech,Denver,2,No,99497.04
39,Male,Masters,21.9,JobRole_6,3.4,Retail,Seattle,2,No,114192.65
48,Male,Bachelors,32.7,JobRole_11,4.4,Finance,San Francisco,5,Yes,171024.55
21,Female,Bachelors,1.7,JobRole_1,1.7,Tech,Dallas,2,Yes,77064.44
